STAZIONE,LATITUDINE,LONGITUDINE,ALTITUDINE
Airolo,46.5286,8.6189,1175
Biasca,46.3580,8.9705,295
Cadenazzo,46.1700,8.9400,195
Camignolo,46.0200,8.9100,449
Carena,45.9600,8.9800,380
Caresio,45.9200,9.1500,350
Castaneda,46.1200,8.8700,500
Cevio,46.3177,8.6023,421
Chirnico,46.0500,9.0200,420
Compravasco,45.8800,8.9900,300
Delpe_Aple,46.0000,9.0000,800
Giubiasco,46.1800,9.0000,250
Isone,46.1300,8.8900,850
Locarno,46.1671,8.7967,196
Lugano,46.0101,8.9600,272
Bellinzona,46.1928,9.0170,241
Ascona,46.1615,8.7750,202
Novaggio,46.2200,8.5500,1200
Piota,46.0700,8.6500,900
Robiei,46.2700,8.4500,1850
San_Bernardino,46.4000,8.9000,1640
Sant_Vittore,46.3200,8.5000,1120
Stabio,45.8700,8.9300,320
Valle_Maggia,46.1900,8.7100,190
Verbano,46.1700,8.8000,196
