# GENERALE
# Origine: www.ti.ch/oasi
# Contatto: oasi@ti.ch
# 
# RICHIESTA
# Url della richiesta: http://www.oasi.ti.ch/web/rest/measure/csv?domain=meteo&resolution=m&parameter=T&from=2024-01-01&to=2026-01-01&location=auto_53
# Data della richiesta: 03.01.2026 10:38:52 CET
# 
# INFORMAZIONI SUI DATI
# Dominio: meteo
# Proprietario dati: DT-DA-SPAAS-UMAm
# Condizioni d'uso:
#   In generale i dati scaricati possono essere liberamente usati o condivisi o pubblicati a condizione
#   che venga citato adeguatamente il proprietario dei dati.
#   Fanno eccezione i dati dell'Ufficio federale di meteorologia e climatologia MeteoSvizzera che
#   non possono essere ne' pubblicati su internet o altri mass-media ne' trasmessi a terzi
#   nella loro forma grezza ne' usati a scopo commerciale
# Avvertenza: i dati recenti sono provvisori e possono subire modifiche durante il processo di controllo della qualita' dei dati
# Luogo: Verbano - Porto Ronco
# Stazione: http://www.oasi.ti.ch/web/dati/stazioni-di-rilevamento.html?domain=meteo&code=auto_53
# Coordinate (CH1903+): 2699847/1111080
# Parametro: T - Temperatura
# Unita' di misura: °C
# Aggregazione: avg_monthly
# Risoluzione temporalee: mensile
# Indicazione temporale: meta' dell'intervallo di misura
# Formato ora: GMT+01:00 (Without Dailight Saving Time)


data;T;provvisorio;
15.01.2024 00:00:00;;;
15.02.2024 00:00:00;;;
15.03.2024 00:00:00;10.4;;
15.04.2024 00:00:00;12.6;*;
15.05.2024 00:00:00;15.3;*;
15.06.2024 00:00:00;19.6;;
15.07.2024 00:00:00;24.1;*;
15.08.2024 00:00:00;25.1;*;
15.09.2024 00:00:00;18.6;*;
15.10.2024 00:00:00;14.7;*;
15.11.2024 00:00:00;9.5;;
15.12.2024 00:00:00;7.0;;
15.01.2025 00:00:00;5.8;;
15.02.2025 00:00:00;7.0;;
15.03.2025 00:00:00;10.1;;
15.04.2025 00:00:00;13.8;;
15.05.2025 00:00:00;17.3;;
15.06.2025 00:00:00;23.2;;
15.07.2025 00:00:00;22.8;;
15.08.2025 00:00:00;23.5;;
15.09.2025 00:00:00;18.5;;
15.10.2025 00:00:00;14.6;;
15.11.2025 00:00:00;9.5;;
15.12.2025 00:00:00;7.8;*;
15.01.2026 00:00:00;4.2;*;
