station,year,month,temperature,latitude,longitude,altitude,season
Airolo,2025,1,-1.2,46.5286,8.6111,1175.0,0
Airolo,2025,2,0.5,46.5286,8.6111,1175.0,0
Airolo,2025,3,3.7,46.5286,8.6111,1175.0,1
Airolo,2025,4,8.7,46.5286,8.6111,1175.0,1
Airolo,2025,5,11.7,46.5286,8.6111,1175.0,1
Airolo,2025,6,18.2,46.5286,8.6111,1175.0,2
Airolo,2025,7,16.6,46.5286,8.6111,1175.0,2
Airolo,2025,8,17.9,46.5286,8.6111,1175.0,2
Airolo,2025,9,12.3,46.5286,8.6111,1175.0,3
Airolo,2025,10,8.0,46.5286,8.6111,1175.0,3
Airolo,2025,11,2.6,46.5286,8.6111,1175.0,3
Airolo,2025,12,1.7,46.5286,8.6111,1175.0,0
Bioggio,2025,1,3.9,46.015,8.915,510.0,0
Bioggio,2025,2,5.9,46.015,8.915,510.0,0
Bioggio,2025,3,9.7,46.015,8.915,510.0,1
Bioggio,2025,4,14.2,46.015,8.915,510.0,1
Bioggio,2025,5,17.3,46.015,8.915,510.0,1
Bioggio,2025,6,24.1,46.015,8.915,510.0,2
Bioggio,2025,7,22.7,46.015,8.915,510.0,2
Bioggio,2025,8,22.8,46.015,8.915,510.0,2
Bioggio,2025,9,17.9,46.015,8.915,510.0,3
Bioggio,2025,10,13.2,46.015,8.915,510.0,3
Bioggio,2025,11,7.5,46.015,8.915,510.0,3
Bioggio,2025,12,5.4,46.015,8.915,510.0,0
Cadenazzo,2025,1,2.5,46.1519,8.9347,195.0,0
Cadenazzo,2025,2,5.1,46.1519,8.9347,195.0,0
Cadenazzo,2025,3,9.0,46.1519,8.9347,195.0,1
Cadenazzo,2025,4,13.5,46.1519,8.9347,195.0,1
Cadenazzo,2025,5,16.9,46.1519,8.9347,195.0,1
Cadenazzo,2025,6,22.6,46.1519,8.9347,195.0,2
Cadenazzo,2025,7,21.9,46.1519,8.9347,195.0,2
Cadenazzo,2025,8,22.2,46.1519,8.9347,195.0,2
Cadenazzo,2025,9,17.2,46.1519,8.9347,195.0,3
Cadenazzo,2025,10,12.5,46.1519,8.9347,195.0,3
Cadenazzo,2025,11,6.0,46.1519,8.9347,195.0,3
Cadenazzo,2025,12,4.0,46.1519,8.9347,195.0,0
Camignolo,2025,1,3.9,46.0917,8.9269,449.0,0
Camignolo,2025,2,5.5,46.0917,8.9269,449.0,0
Camignolo,2025,3,9.2,46.0917,8.9269,449.0,1
Camignolo,2025,4,13.6,46.0917,8.9269,449.0,1
Camignolo,2025,5,16.5,46.0917,8.9269,449.0,1
Camignolo,2025,6,23.2,46.0917,8.9269,449.0,2
Camignolo,2025,7,22.4,46.0917,8.9269,449.0,2
Camignolo,2025,8,22.3,46.0917,8.9269,449.0,2
Camignolo,2025,9,17.2,46.0917,8.9269,449.0,3
Camignolo,2025,10,12.7,46.0917,8.9269,449.0,3
Camignolo,2025,11,7.4,46.0917,8.9269,449.0,3
Camignolo,2025,12,5.9,46.0917,8.9269,449.0,0
Carena,2025,1,1.8,45.971,8.98,390.0,0
Carena,2025,2,2.8,45.971,8.98,390.0,0
Carena,2025,3,6.0,45.971,8.98,390.0,1
Carena,2025,4,10.2,45.971,8.98,390.0,1
Carena,2025,5,12.9,45.971,8.98,390.0,1
Carena,2025,6,19.5,45.971,8.98,390.0,2
Carena,2025,7,18.2,45.971,8.98,390.0,2
Carena,2025,8,19.1,45.971,8.98,390.0,2
Carena,2025,9,13.9,45.971,8.98,390.0,3
Carena,2025,10,9.9,45.971,8.98,390.0,3
Carena,2025,11,5.2,45.971,8.98,390.0,3
Carena,2025,12,4.7,45.971,8.98,390.0,0
